"DisplayName","DisplayVersion","Publisher","InstallDate"
"Integration Services","16.0.5491.7","Microsoft Corporation","20250222"
"Intel Driver && Support Assistant","25.4.36.6","Intel","20250909"
"Intel Processor Diagnostic Tool 64bit","4.1.5","Intel Corporation","20211002"
"Intel(R) Chipset Device Software","10.1.18295.8201","Intel Corporation","20211002"
"Intel(R) Chipset Device Software","10.1.18295.8201","Intel(R) Corporation",
"Intel(R) Graphics Driver Software","3.11.1.0","Intel",
"Intel(R) Icls","1.0.0.0","Intel Corporation","20211210"
"Intel(R) LMS","1.0.0.0","Intel Corporation","20211210"
"Intel(R) LMS","1.0.0.0","Intel Corporation","20211210"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20211210"
"Intel(R) Management Engine Components","2134.15.0.2422","Intel Corporation",
"Intel(R) Management Engine Driver","1.0.0.0","Intel Corporation","20211210"
"Intel(R) Network Connections 26.4.0.5","26.4.0.5","Intel","20211001"
"Intel(R) Network Connections 26.4.0.5","26.4.0.5","Intel","20211001"
"Intel(R) Wireless Bluetooth(R)","24.0.1.1","Intel Corporation","20251210"
"Intel® Driver & Support Assistant","25.4.36.6","Intel","20250909"
"Intel® Processor Identification Utility","6.4.0603","Intel Corporation","20201107"
"Intel® Software Installer","23.110.0.5","Intel Corporation",
"Intel® Software Installer","24.0.2.1","Intel Corporation","20251210"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20231016"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20231016"
"ISO to USB",,"isotousb.com","20211008"
"Java 8 Update 461 (64-bit)","8.0.4610.11","Oracle Corporation","20250831"
"Java Auto Updater","2.8.461.11","Oracle Corporation","20250831"
"KB2919355","1.0.20160915","Chocolatey",
"KB2919442","1.0.20160915","Chocolatey",
"KB2999226","1.0.20181019","Chocolatey",
"KB3033929","1.0.5","Chocolatey",
"KB3035131","1.0.3","Chocolatey",
"Kingston AURA DRAM Component","1.1.36","KINGSTON COMPONENTS INC.",
"Kingston AURA DRAM Component","1.1.36","KINGSTON COMPONENTS INC.","20241108"
"Kits Configuration Installer","10.1.26100.6901","Microsoft","20251111"
"kubernetes-helm","3.18.5","Chocolatey",
"LAME v3.99.3 (for Windows)",,,"20230528"
"LedFX x.x.x","x.x.x","LedFX",
"Lighttoys Composer version 4.2","4.2",,"20251102"
"Logitech G HUB","2024.9.649333","Logitech",
"MEMCHECK","11.2","NVIDIA Corporation","20201226"
"Microsoft .NET 8.0 Templates 8.0.416 (x64)","32.13.62978","Microsoft Corporation","20251111"
"Microsoft .NET 9.0 Templates 9.0.112 (x64)","36.11.62288","Microsoft Corporation","20251111"
"Microsoft .NET 9.0 Templates 9.0.307 (x64)","36.11.62287","Microsoft Corporation","20251111"
"Microsoft .NET AppHost Pack - 8.0.22 (x64_arm64)","64.88.42551","Microsoft Corporation","20251111"
